Адрес'A0.0'A0.1'A0.2'A0.3'A0.4'A0.5'A0.6'A0.7'A1.0'A1.1'A1.2'A1.3'A1.4'A1.5'A1.6'A1.7'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'DB10'
Имя'Z2'Z2R'Z1'Z1R'J'Z5'V1'V2'E1'E2'E3'M'F'D'H1'H2' DW10' DW11' DW12' DW13' DW14' DW15' DW16' DW17' DW90' DW91' DW92' DW163' DW165' DW166'
Комментарий'nasos 2 na linii 250 bar'nasos 2 na linii 200 bar'nasos 1 na linii 250 bar'nasos 1 na linii 200 bar'soedinenie nasosa 1 - nasosa 2'wspomogatelxnyj nasos 5 na linii'akkumulqtornaq batareq 1 na linii'akkumulqtornaq batareq 2 na linii'nazad puanson'snqtie prodwiveniq puansona'wkl.akkumulqtorow dlq prodwiv.puansona'wpered puanson - pressowanie'dekompressiq 0'zakrytx napolnitelxnyj klapan'zakrytx kontejner'otkrytx kontejner' poziciya pusnsona' poziciya kontejnera' poziciya nozha' poziciya zagr 1' poziciya zagr 2' davlenie gc' davlenie prizhima kontejnera' poziciya nk' rashod RSV7' rashod RSV5' rashod RSV6' vyhodnaya skorost petli os' rashod nasosa 2' rashod nasosa 1'
 8: 5: 3,198'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01514'-00065'+00791'+07817'+07642'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 3,469'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01516'-00065'+00791'+07817'+07642'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 3,709'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01517'-00065'+00793'+07817'+07644'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 3,964'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01518'-00065'+00792'+07817'+07642'+00151'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 4,235'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01520'-00065'+00791'+07815'+07644'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 4,475'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01521'-00065'+00791'+07817'+07642'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 4,730'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01522'-00065'+00791'+07817'+07642'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 5,  1'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01524'-00064'+00791'+07817'+07642'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 5,286'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01525'-00065'+00792'+07817'+07644'+00150'+00251'+01519'+01872'+00000'+02123'+00279'+00279'+00279'
 8: 5: 5,557'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01527'-00065'+00793'+07817'+07644'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 5,812'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01528'-00064'+00793'+07817'+07644'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 6, 82'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01530'-00064'+00791'+07817'+07642'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 6,338'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01531'-00064'+00791'+07815'+07642'+00149'+00251'+01519'+01872'+00000'+02122'+00279'+00279'+00279'
 8: 5: 6,638'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01533'-00064'+00791'+07815'+07642'+00149'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 6,894'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01534'-00064'+00791'+07817'+07642'+00148'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 7,179'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01535'-00064'+00791'+07815'+07644'+00148'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 7,449'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01537'-00064'+00790'+07817'+07644'+00148'+00251'+01519'+01872'+00000'+02122'+00278'+00278'+00278'
 8: 5: 7,735'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01539'-00064'+00791'+07817'+07644'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 7,975'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01540'-00064'+00791'+07817'+07644'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 8,215'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01541'-00064'+00791'+07817'+07642'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 8,471'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01542'-00064'+00791'+07817'+07644'+00147'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 8,741'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01544'-00064'+00791'+07817'+07642'+00146'+00252'+01519'+01872'+00000'+02121'+00278'+00278'+00278'
 8: 5: 9, 12'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01545'-00064'+00791'+07817'+07644'+00146'+00252'+01519'+01872'+00000'+02121'+00277'+00277'+00277'
 8: 5: 9,267'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01547'-00064'+00791'+07817'+07644'+00146'+00252'+01519'+01872'+00000'+02121'+00277'+00277'+00277'
 8: 5: 9,522'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01548'-00064'+00791'+07817'+07642'+00146'+00252'+01519'+01872'+00000'+02121'+00277'+00277'+00277'
 8: 5: 9,793'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01549'-00064'+00791'+07817'+07644'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10, 33'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01551'-00064'+00791'+07817'+07642'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10,318'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01552'-00064'+00791'+07817'+07642'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10,559'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01554'-00064'+00791'+07817'+07642'+00145'+00252'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:10,829'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01555'-00064'+00791'+07817'+07644'+00145'+00251'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:11,190'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01557'-00064'+00791'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00277'+00277'+00277'
 8: 5:11,445'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01558'-00064'+00791'+07817'+07644'+00144'+00252'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:11,715'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01560'-00064'+00791'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:11,971'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01561'-00064'+00790'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:12,211'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01562'-00064'+00791'+07817'+07644'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:12,482'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01564'-00064'+00791'+07817'+07642'+00144'+00251'+01519'+01872'+00000'+02120'+00276'+00276'+00276'
 8: 5:12,767'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01565'-00064'+00791'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13, 52'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01567'-00064'+00790'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13,293'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01568'-00064'+00788'+07817'+07644'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13,533'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01569'-00064'+00790'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:13,803'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01571'-00064'+00791'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:14, 89'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01572'-00064'+00791'+07817'+07644'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
 8: 5:14,344'1'0'1'0'1'1'1'1'0'1'0'1'1'1'0'0'+01574'-00064'+00791'+07817'+07642'+00143'+00251'+01519'+01872'+00000'+02119'+00276'+00276'+00276'
